Stop with no routes: Stop{stopId='SNCB-8833605_4', name='Landen', latitude=50.74793, longitude=5.07966, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8833605_5', name='Landen', latitude=50.74793, longitude=5.07966, routes=[]}
Stop with no routes: Stop{stopId='STIB-0470438', name='4 - Boulevard Léopold II', latitude=50.862851, longitude=4.330131, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8871811_2', name='Thuin', latitude=50.34274, longitude=4.28891, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8874609', name='Tamines', latitude=50.43223, longitude=4.608824, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8874609_4', name='Tamines', latitude=50.43223, longitude=4.608824, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8874609_2', name='Tamines', latitude=50.43223, longitude=4.608824, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8874609_3', name='Tamines', latitude=50.43223, longitude=4.608824, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8874609_1', name='Tamines', latitude=50.43223, longitude=4.608824, routes=[]}
Stop with no routes: Stop{stopId='SNCB-S8884004', name='Saint-Ghislain', latitude=50.44286, longitude=3.820255, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109697', name='Geel Bel Kerk', latitude=51.16305, longitude=5.063287, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109693', name='Geel Sint-Antoniusstraat', latitude=51.165923, longitude=5.063932, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408737', name='Tongeren Weg naar Industrieterrein', latitude=50.773238, longitude=5.475796, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408746', name='Tongeren Wijkstraat', latitude=50.772656, longitude=5.460709, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-408715', name='Vreren Hamal', latitude=50.761836, longitude=5.475712, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109659', name='Heist-op-den-Berg Kerkbossenstraat', latitude=51.071087, longitude=4.702358, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8864824_2', name='Chapois', latitude=50.26237, longitude=5.12426, routes=[]}
Stop with no routes: Stop{stopId='DELIJN-109652', name='Branst Kraeyhoeve', latitude=51.075657, longitude=4.203732, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8864824_1', name='Chapois', latitude=50.26237, longitude=5.12426, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8821402_1', name='Essen', latitude=51.46276, longitude=4.451318, routes=[]}
Stop with no routes: Stop{stopId='SNCB-8821402_2', name='Essen', latitude=51.46276, longitude=4.451318, routes=[]}
